epoch 1 of 50: training_loss = 0.3944, training_accuracy = 0.8752, test_loss = 0.2115, test_accuracy = 0.9334, lr_size = 0.0010000000
epoch 2 of 50: training_loss = 0.2246, training_accuracy = 0.9310, test_loss = 0.1579, test_accuracy = 0.9508, lr_size = 0.0010000000
epoch 3 of 50: training_loss = 0.1974, training_accuracy = 0.9393, test_loss = 0.1451, test_accuracy = 0.9538, lr_size = 0.0010000000
epoch 4 of 50: training_loss = 0.1784, training_accuracy = 0.9461, test_loss = 0.1402, test_accuracy = 0.9568, lr_size = 0.0010000000
epoch 5 of 50: training_loss = 0.1701, training_accuracy = 0.9483, test_loss = 0.1412, test_accuracy = 0.9555, lr_size = 0.0010000000
epoch 6 of 50: training_loss = 0.1650, training_accuracy = 0.9490, test_loss = 0.1409, test_accuracy = 0.9559, lr_size = 0.0010000000
epoch 7 of 50: training_loss = 0.1590, training_accuracy = 0.9518, test_loss = 0.1039, test_accuracy = 0.9684, lr_size = 0.0010000000
epoch 8 of 50: training_loss = 0.1582, training_accuracy = 0.9509, test_loss = 0.1166, test_accuracy = 0.9633, lr_size = 0.0010000000
epoch 9 of 50: training_loss = 0.1519, training_accuracy = 0.9533, test_loss = 0.0889, test_accuracy = 0.9717, lr_size = 0.0010000000
epoch 10 of 50: training_loss = 0.1552, training_accuracy = 0.9526, test_loss = 0.1273, test_accuracy = 0.9607, lr_size = 0.0010000000
epoch 11 of 50: training_loss = 0.1533, training_accuracy = 0.9536, test_loss = 0.1230, test_accuracy = 0.9624, lr_size = 0.0010000000
epoch 12 of 50: training_loss = 0.1481, training_accuracy = 0.9539, test_loss = 0.1173, test_accuracy = 0.9622, lr_size = 0.0010000000
epoch 13 of 50: training_loss = 0.1503, training_accuracy = 0.9537, test_loss = 0.1323, test_accuracy = 0.9577, lr_size = 0.0010000000
epoch 14 of 50: training_loss = 0.1503, training_accuracy = 0.9526, test_loss = 0.1029, test_accuracy = 0.9697, lr_size = 0.0010000000
epoch 15 of 50: training_loss = 0.1483, training_accuracy = 0.9543, test_loss = 0.1114, test_accuracy = 0.9645, lr_size = 0.0010000000
