epoch 1 of 50: training_loss = 0.3818, training_accuracy = 0.8792, test_loss = 0.1870, test_accuracy = 0.9399, lr_size = 0.0010000000
epoch 2 of 50: training_loss = 0.2062, training_accuracy = 0.9364, test_loss = 0.1577, test_accuracy = 0.9514, lr_size = 0.0010000000
epoch 3 of 50: training_loss = 0.1680, training_accuracy = 0.9490, test_loss = 0.1218, test_accuracy = 0.9615, lr_size = 0.0010000000
epoch 4 of 50: training_loss = 0.1454, training_accuracy = 0.9559, test_loss = 0.1212, test_accuracy = 0.9625, lr_size = 0.0010000000
epoch 5 of 50: training_loss = 0.1345, training_accuracy = 0.9594, test_loss = 0.1033, test_accuracy = 0.9673, lr_size = 0.0010000000
epoch 6 of 50: training_loss = 0.1241, training_accuracy = 0.9615, test_loss = 0.1125, test_accuracy = 0.9668, lr_size = 0.0010000000
epoch 7 of 50: training_loss = 0.1169, training_accuracy = 0.9642, test_loss = 0.1087, test_accuracy = 0.9647, lr_size = 0.0010000000
epoch 8 of 50: training_loss = 0.1077, training_accuracy = 0.9665, test_loss = 0.1022, test_accuracy = 0.9687, lr_size = 0.0010000000
epoch 9 of 50: training_loss = 0.1059, training_accuracy = 0.9666, test_loss = 0.0800, test_accuracy = 0.9753, lr_size = 0.0010000000
epoch 10 of 50: training_loss = 0.1023, training_accuracy = 0.9684, test_loss = 0.0841, test_accuracy = 0.9729, lr_size = 0.0010000000
epoch 11 of 50: training_loss = 0.1005, training_accuracy = 0.9686, test_loss = 0.0789, test_accuracy = 0.9768, lr_size = 0.0010000000
epoch 12 of 50: training_loss = 0.0950, training_accuracy = 0.9700, test_loss = 0.1033, test_accuracy = 0.9705, lr_size = 0.0010000000
epoch 13 of 50: training_loss = 0.0939, training_accuracy = 0.9706, test_loss = 0.0921, test_accuracy = 0.9734, lr_size = 0.0010000000
epoch 14 of 50: training_loss = 0.0913, training_accuracy = 0.9713, test_loss = 0.0823, test_accuracy = 0.9755, lr_size = 0.0010000000
epoch 15 of 50: training_loss = 0.0873, training_accuracy = 0.9722, test_loss = 0.0971, test_accuracy = 0.9702, lr_size = 0.0010000000
epoch 16 of 50: training_loss = 0.0914, training_accuracy = 0.9707, test_loss = 0.0971, test_accuracy = 0.9697, lr_size = 0.0010000000
epoch 17 of 50: training_loss = 0.0858, training_accuracy = 0.9731, test_loss = 0.0775, test_accuracy = 0.9783, lr_size = 0.0010000000
epoch 18 of 50: training_loss = 0.0878, training_accuracy = 0.9723, test_loss = 0.0889, test_accuracy = 0.9734, lr_size = 0.0010000000
epoch 19 of 50: training_loss = 0.0880, training_accuracy = 0.9721, test_loss = 0.0784, test_accuracy = 0.9772, lr_size = 0.0010000000
epoch 20 of 50: training_loss = 0.0848, training_accuracy = 0.9732, test_loss = 0.0838, test_accuracy = 0.9758, lr_size = 0.0010000000
