epoch 1 of 50: training_loss = 0.4618, training_accuracy = 0.8507, test_loss = 0.1910, test_accuracy = 0.9438, lr_size = 0.0100000000
epoch 2 of 50: training_loss = 0.2008, training_accuracy = 0.9391, test_loss = 0.1487, test_accuracy = 0.9537, lr_size = 0.0100000000
epoch 3 of 50: training_loss = 0.1629, training_accuracy = 0.9517, test_loss = 0.1562, test_accuracy = 0.9523, lr_size = 0.0100000000
epoch 4 of 50: training_loss = 0.1364, training_accuracy = 0.9587, test_loss = 0.1064, test_accuracy = 0.9681, lr_size = 0.0100000000
epoch 5 of 50: training_loss = 0.1193, training_accuracy = 0.9641, test_loss = 0.1012, test_accuracy = 0.9668, lr_size = 0.0100000000
epoch 6 of 50: training_loss = 0.1092, training_accuracy = 0.9674, test_loss = 0.1054, test_accuracy = 0.9665, lr_size = 0.0100000000
epoch 7 of 50: training_loss = 0.0994, training_accuracy = 0.9692, test_loss = 0.0952, test_accuracy = 0.9710, lr_size = 0.0100000000
epoch 8 of 50: training_loss = 0.0913, training_accuracy = 0.9712, test_loss = 0.0949, test_accuracy = 0.9690, lr_size = 0.0100000000
epoch 9 of 50: training_loss = 0.0828, training_accuracy = 0.9743, test_loss = 0.1008, test_accuracy = 0.9704, lr_size = 0.0100000000
epoch 10 of 50: training_loss = 0.0812, training_accuracy = 0.9747, test_loss = 0.0835, test_accuracy = 0.9767, lr_size = 0.0100000000
epoch 11 of 50: training_loss = 0.0739, training_accuracy = 0.9767, test_loss = 0.0852, test_accuracy = 0.9742, lr_size = 0.0100000000
epoch 12 of 50: training_loss = 0.0699, training_accuracy = 0.9775, test_loss = 0.0959, test_accuracy = 0.9720, lr_size = 0.0100000000
epoch 13 of 50: training_loss = 0.0683, training_accuracy = 0.9781, test_loss = 0.0779, test_accuracy = 0.9777, lr_size = 0.0100000000
epoch 14 of 50: training_loss = 0.0666, training_accuracy = 0.9784, test_loss = 0.0833, test_accuracy = 0.9762, lr_size = 0.0100000000
epoch 15 of 50: training_loss = 0.0623, training_accuracy = 0.9793, test_loss = 0.0790, test_accuracy = 0.9779, lr_size = 0.0100000000
epoch 16 of 50: training_loss = 0.0592, training_accuracy = 0.9810, test_loss = 0.0752, test_accuracy = 0.9790, lr_size = 0.0100000000
epoch 17 of 50: training_loss = 0.0570, training_accuracy = 0.9816, test_loss = 0.0798, test_accuracy = 0.9797, lr_size = 0.0100000000
epoch 18 of 50: training_loss = 0.0564, training_accuracy = 0.9819, test_loss = 0.0734, test_accuracy = 0.9785, lr_size = 0.0100000000
